YEAR,TOPONIMIA,TIPO,VAL
2019,Azua,I,0
2019,Baoruco,I,0
2019,Barahona,I,0
2019,Dajabón,I,0
2019,Distrito Nacional,I,2
2019,Duarte,I,0
2019,El Seibo,I,0
2019,Elías Piña,I,0
2019,Espaillat,I,0
2019,Hato Mayor,I,0
2019,Hermanas Mirabal,I,1
2019,Independencia,I,0
2019,La Altagracia,I,0
2019,La Romana,I,1
2019,La Vega,I,0
2019,María Trinidad Sánchez,I,0
2019,Monseñor Nouel,I,0
2019,Monte Cristi,I,0
2019,Monte Plata,I,0
2019,Pedernales,I,0
2019,Peravia,I,1
2019,Puerto Plata,I,0
2019,Samaná,I,0
2019,San Cristóbal,I,0
2019,San José de Ocoa,I,0
2019,San Juan,I,0
2019,San Pedro de Macorís,I,0
2019,Sánchez Ramírez,I,0
2019,Santiago,I,0
2019,Santiago Rodríguez,I,0
2019,Santo Domingo,I,1
2019,Valverde,I,0
2019,Azua,II,3
2019,Baoruco,II,0
2019,Barahona,II,2
2019,Dajabón,II,1
2019,Distrito Nacional,II,5
2019,Duarte,II,0
2019,El Seibo,II,2
2019,Elías Piña,II,0
2019,Espaillat,II,3
2019,Hato Mayor,II,1
2019,Hermanas Mirabal,II,0
2019,Independencia,II,0
2019,La Altagracia,II,0
2019,La Romana,II,0
2019,La Vega,II,1
2019,María Trinidad Sánchez,II,0
2019,Monseñor Nouel,II,0
2019,Monte Cristi,II,0
2019,Monte Plata,II,2
2019,Pedernales,II,0
2019,Peravia,II,0
2019,Puerto Plata,II,2
2019,Samaná,II,1
2019,San Cristóbal,II,1
2019,San José de Ocoa,II,0
2019,San Juan,II,1
2019,San Pedro de Macorís,II,3
2019,Sánchez Ramírez,II,2
2019,Santiago,II,0
2019,Santiago Rodríguez,II,3
2019,Santo Domingo,II,10
2019,Valverde,II,0
2019,Azua,III,5
2019,Baoruco,III,2
2019,Barahona,III,1
2019,Dajabón,III,0
2019,Distrito Nacional,III,6
2019,Duarte,III,2
2019,El Seibo,III,0
2019,Elías Piña,III,0
2019,Espaillat,III,1
2019,Hato Mayor,III,4
2019,Hermanas Mirabal,III,0
2019,Independencia,III,0
2019,La Altagracia,III,0
2019,La Romana,III,0
2019,La Vega,III,1
2019,María Trinidad Sánchez,III,3
2019,Monseñor Nouel,III,0
2019,Monte Cristi,III,0
2019,Monte Plata,III,4
2019,Pedernales,III,0
2019,Peravia,III,1
2019,Puerto Plata,III,2
2019,Samaná,III,1
2019,San Cristóbal,III,0
2019,San José de Ocoa,III,3
2019,San Juan,III,2
2019,San Pedro de Macorís,III,2
2019,Sánchez Ramírez,III,0
2019,Santiago,III,3
2019,Santiago Rodríguez,III,2
2019,Santo Domingo,III,13
2019,Valverde,III,0
2019,Azua,IV,0
2019,Baoruco,IV,0
2019,Barahona,IV,2
2019,Dajabón,IV,0
2019,Distrito Nacional,IV,5
2019,Duarte,IV,1
2019,El Seibo,IV,2
2019,Elías Piña,IV,0
2019,Espaillat,IV,0
2019,Hato Mayor,IV,1
2019,Hermanas Mirabal,IV,4
2019,Independencia,IV,0
2019,La Altagracia,IV,2
2019,La Romana,IV,0
2019,La Vega,IV,1
2019,María Trinidad Sánchez,IV,1
2019,Monseñor Nouel,IV,1
2019,Monte Cristi,IV,0
2019,Monte Plata,IV,1
2019,Pedernales,IV,0
2019,Peravia,IV,1
2019,Puerto Plata,IV,1
2019,Samaná,IV,0
2019,San Cristóbal,IV,1
2019,San José de Ocoa,IV,0
2019,San Juan,IV,2
2019,San Pedro de Macorís,IV,2
2019,Sánchez Ramírez,IV,3
2019,Santiago,IV,0
2019,Santiago Rodríguez,IV,0
2019,Santo Domingo,IV,4
2019,Valverde,IV,0
2019,Azua,9,35
2019,Baoruco,9,25
2019,Barahona,9,43
2019,Dajabón,9,13
2019,Distrito Nacional,9,197
2019,Duarte,9,54
2019,El Seibo,9,18
2019,Elías Piña,9,19
2019,Espaillat,9,25
2019,Hato Mayor,9,29
2019,Hermanas Mirabal,9,16
2019,Independencia,9,8
2019,La Altagracia,9,27
2019,La Romana,9,6
2019,La Vega,9,39
2019,María Trinidad Sánchez,9,30
2019,Monseñor Nouel,9,23
2019,Monte Cristi,9,8
2019,Monte Plata,9,34
2019,Pedernales,9,5
2019,Peravia,9,31
2019,Puerto Plata,9,29
2019,Samaná,9,20
2019,San Cristóbal,9,93
2019,San José de Ocoa,9,28
2019,San Juan,9,91
2019,San Pedro de Macorís,9,34
2019,Sánchez Ramírez,9,27
2019,Santiago,9,23
2019,Santiago Rodríguez,9,9
2019,Santo Domingo,9,221
2019,Valverde,9,8
2020,Azua,I,0
2020,Baoruco,I,0
2020,Barahona,I,0
2020,Dajabón,I,0
2020,Distrito Nacional,I,0
2020,Duarte,I,0
2020,El Seibo,I,0
2020,Elías Piña,I,0
2020,Espaillat,I,0
2020,Hato Mayor,I,0
2020,Hermanas Mirabal,I,0
2020,Independencia,I,0
2020,La Altagracia,I,0
2020,La Romana,I,0
2020,La Vega,I,0
2020,María Trinidad Sánchez,I,0
2020,Monseñor Nouel,I,0
2020,Monte Cristi,I,0
2020,Monte Plata,I,0
2020,Pedernales,I,0
2020,Peravia,I,0
2020,Puerto Plata,I,0
2020,Samaná,I,0
2020,San Cristóbal,I,0
2020,San José de Ocoa,I,0
2020,San Juan,I,0
2020,San Pedro de Macorís,I,0
2020,Sánchez Ramírez,I,1
2020,Santiago,I,0
2020,Santiago Rodríguez,I,0
2020,Santo Domingo,I,0
2020,Valverde,I,0
2020,Azua,II,1
2020,Baoruco,II,0
2020,Barahona,II,0
2020,Dajabón,II,0
2020,Distrito Nacional,II,1
2020,Duarte,II,0
2020,El Seibo,II,0
2020,Elías Piña,II,0
2020,Espaillat,II,1
2020,Hato Mayor,II,0
2020,Hermanas Mirabal,II,0
2020,Independencia,II,0
2020,La Altagracia,II,1
2020,La Romana,II,0
2020,La Vega,II,3
2020,María Trinidad Sánchez,II,0
2020,Monseñor Nouel,II,0
2020,Monte Cristi,II,0
2020,Monte Plata,II,0
2020,Pedernales,II,0
2020,Peravia,II,0
2020,Puerto Plata,II,0
2020,Samaná,II,0
2020,San Cristóbal,II,2
2020,San José de Ocoa,II,1
2020,San Juan,II,2
2020,San Pedro de Macorís,II,1
2020,Sánchez Ramírez,II,0
2020,Santiago,II,0
2020,Santiago Rodríguez,II,0
2020,Santo Domingo,II,5
2020,Valverde,II,0
2020,Azua,III,1
2020,Baoruco,III,0
2020,Barahona,III,0
2020,Dajabón,III,0
2020,Distrito Nacional,III,1
2020,Duarte,III,1
2020,El Seibo,III,0
2020,Elías Piña,III,0
2020,Espaillat,III,0
2020,Hato Mayor,III,0
2020,Hermanas Mirabal,III,2
2020,Independencia,III,0
2020,La Altagracia,III,0
2020,La Romana,III,0
2020,La Vega,III,0
2020,María Trinidad Sánchez,III,1
2020,Monseñor Nouel,III,0
2020,Monte Cristi,III,0
2020,Monte Plata,III,1
2020,Pedernales,III,0
2020,Peravia,III,0
2020,Puerto Plata,III,0
