YEAR,ETARIO,SEXO,CASOS
2019,0-9,hombre,6
2019,10-19,hombre,12
2019,20-29,hombre,18
2019,30-39,hombre,30
2019,40-49,hombre,63
2019,50-59,hombre,117
2019,60-69,hombre,169
2019,70-79,hombre,138
2019,80 <,hombre,64
2019,0-9,mujer,2
2019,10-19,mujer,13
2019,20-29,mujer,31
2019,30-39,mujer,96
2019,40-49,mujer,166
2019,50-59,mujer,186
2019,60-69,mujer,199
2019,70-79,mujer,125
2019,80 <,mujer,46
2020,0-9,hombre,6
2020,10-19,hombre,11
2020,20-29,hombre,10
2020,30-39,hombre,23
2020,40-49,hombre,41
2020,50-59,hombre,67
2020,60-69,hombre,105
2020,70-79,hombre,98
2020,80 <,hombre,29
2020,0-9,mujer,13
2020,19-10,mujer,8
2020,20-29,mujer,43
2020,30-39,mujer,68
2020,40-49,mujer,99
2020,50-59,mujer,114
2020,60-69,mujer,142
2020,70-79,mujer,99
2020,80 <,mujer,47
2021,0-9,hombre,3
2021,10-19,hombre,11
2021,20-29,hombre,18
2021,30-39,hombre,18
2021,40-49,hombre,25
2021,50-59,hombre,64
2021,60-69,hombre,101
2021,70-79,hombre,70
2021,80 <,hombre,30
2021,0-9,mujer,6
2021,10-19,mujer,9
2021,20-29,mujer,25
2021,30-39,mujer,52
2021,40-49,mujer,81
2021,50-59,mujer,110
2021,60-69,mujer,117
2021,70-79,mujer,75
2021,80 <,mujer,39
2018,0-9,hombre,3
2018,10-19,hombre,11
2018,20-29,hombre,18
2018,30-39,hombre,18
2018,40-49,hombre,25
2018,50-59,hombre,64
2018,60-69,hombre,101
2018,70-79,hombre,70
2018,80 <,hombre,30
2018,0-9,mujer,6
2018,10-19,mujer,9
2018,20-29,mujer,25
2018,30-39,mujer,52
2018,40-49,mujer,81
2018,50-59,mujer,110
2018,60-69,mujer,117
2018,70-79,mujer,75
2018,80 <,mujer,39
2017,0-9,hombre,7
2017,10-19,hombre,12
2017,20-29,hombre,7
2017,30-39,hombre,28
2017,40-49,hombre,37
2017,50-59,hombre,76
2017,60-69,hombre,139
2017,70-79,hombre,85
2017,80 <,hombre,34
2017,0-9,mujer,10
2017,10-19,mujer,9
2017,20-29,mujer,19
2017,30-39,mujer,65
2017,40-49,mujer,144
2017,50-59,mujer,160
2017,60-69,mujer,159
2017,70-79,mujer,93
2017,80 <,mujer,31
